city,Lagerstroemia indica,Platanus acerifolia,Liquidambar styraciflua,Washingtonia robusta,Magnolia grandiflora,Others
Los Angeles,34729,17477,30061,37971,30988,430720
San Jose,21636,26291,14644,5116,7080,190038
San Diego,2207,1907,10323,15129,3463,179191
Rancho Cucamonga,12920,5707,3727,2262,5016,50971
Stockton,7354,7552,4110,780,3762,74149
Sacramento,4146,14111,1933,1535,1151,61384
San Francisco,102,11925,1592,1012,7793,152682
Anaheim,3771,1264,1491,4385,5266,60842
Ontario,4630,3328,4392,1588,1214,43425
Oakland,1953,3788,3312,274,1375,24866
HuntingtonBeach,3896,574,170,4037,372,46549
Irvine,1390,1195,1773,542,530,52339
Garden Grove,2358,593,365,596,696,12913
Fresno,184,294,6,0,0,5689
Santa Rosa,0,87,1,0,0,1125
